,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
7399,http://www.wikidata.org/entity/Q557220,Feng Youlan,1895,male,Qing dynasty,Asia,"historian, philosopher, university teacher",philosophy
7400,http://www.wikidata.org/entity/Q1333636,Else Eckersberg,1895,female,Germany,Europe,"actor, film actor, stage actor, writer","acting, literature, theatre"
7401,http://www.wikidata.org/entity/Q201732,Robert Graves,1895,male,United Kingdom,Europe,"literary critic, military personnel, novelist, playwright, poet, science fiction writer, screenwriter, translator, university teacher, writer",literary studies
7403,http://www.wikidata.org/entity/Q598050,Antoni Słonimski,1895,male,Poland,Europe,"graphic artist, illustrator, journalist, literary critic, opinion journalist, painter, playwright, poet, science fiction writer, translator, writer","drama, fiction, graphics, illustration, literature, opinion journalism, poetry, theatre criticism, translation"
7406,http://www.wikidata.org/entity/Q12792730,Josip Turk,1895,male,United States,North America,"Catholic priest, historian, philologist, philosopher, theologian, university teacher","Christianity, Cistercians, history of Christianity, philosophy, scholasticism, theology"
7410,http://www.wikidata.org/entity/Q276375,Guadalupe Marín,1895,female,Mexico,North America,"model, novelist, writer","art model, cultural life, literary activity"
7411,http://www.wikidata.org/entity/Q76727,Ernst Jünger,1895,male,Germany,Europe,"entomologist, journalist, military personnel, philosopher, poet, science fiction writer, writer","German-language literature, entomology, philosophy"
7415,http://www.wikidata.org/entity/Q12261324,Karmele Saint-Martin,1895,female,Spain,Europe,"essayist, journalist, novelist",essay
7419,http://www.wikidata.org/entity/Q381256,Lucian Blaga,1895,male,Romania,Europe,"diplomat, essayist, journalist, librarian, linguist, philosopher, playwright, poet, translator, university teacher, writer","diplomacy, drama, essay, journalism, literary activity, literary translation, philosophy, poetry, translation from German, translation into Romanian"
7423,http://www.wikidata.org/entity/Q1541530,Joseph Winternitz,1896,male,United Kingdom,Europe,"economist, journalist, politician, university teacher, writer","economics, journalism, philosophy, physics, politics, theory of relativity"
7426,http://www.wikidata.org/entity/Q993215,Bruno E. Werner,1896,male,Germany,Europe,"art critic, diplomat, journalist, literary critic, translator, writer","art criticism, diplomacy, journalism, literary criticism, literature, translation"
7428,http://www.wikidata.org/entity/Q466477,Na Hye-sok,1896,female,South Korea,Asia,"activist, journalist, painter, philosopher, poet, politician, printmaker, sculptor, writer","oil painting, poetry"
7429,http://www.wikidata.org/entity/Q40332284,Henryk Kazimierowicz,1896,male,Poland,Europe,"Catholic priest, philosopher","anthropology, ethnology, history of Christianity, religion, religious studies"
7434,http://www.wikidata.org/entity/Q93826,Friedrich Waismann,1896,male,Austria,Europe,"mathematician, philosopher, physicist, university teacher",logical positivism
7441,http://www.wikidata.org/entity/Q465237,Marjorie Kinnan Rawlings,1896,female,United States,North America,"novelist, screenwriter, university teacher, writer","creative writing, regional history, regional literature, rural literature"
7449,http://www.wikidata.org/entity/Q234898,A. C. Bhaktivedanta Swami Prabhupada,1896,male,India,Asia,"philosopher, translator, writer","culture of India, philosophy"
7451,http://www.wikidata.org/entity/Q3383087,Pierre-Gilles Veber,1896,male,France,Europe,"film director, journalist, screenwriter, writer","film screenwriting, journalism, literature"
7452,http://www.wikidata.org/entity/Q15447121,Johannes Alt,1896,male,Germany,Europe,"pedagogue, philologist, university teacher","art history, higher education institution, history of literature, philology, philosophy"
7454,http://www.wikidata.org/entity/Q55993,Kenji Miyazawa,1896,male,Japan,Asia,"Esperantist, agronomist, novelist, pedagogue, poet, prose writer, teacher, writer","children's and youth literature, creative and professional writing, poetry"
7455,http://www.wikidata.org/entity/Q180819,Lev Vygotsky,1896,male,Soviet Union,Europe,"anthropologist, non-fiction writer, pedagogue, philosopher, psychologist, university teacher","defectology, literary studies, paedology, psychology"
7460,http://www.wikidata.org/entity/Q123190,Jean Piaget,1896,male,Switzerland,Europe,"biologist, pedagogue, philosopher, psychologist, university teacher, zoologist","biology, cognitive psychology, developmental psychology, logic, philosophy, psychology"
7463,http://www.wikidata.org/entity/Q61037,Wilhelm Ackermann,1896,male,Germany,Europe,"mathematician, philosopher, secondary school teacher",mathematics
7472,http://www.wikidata.org/entity/Q2884998,Xandro Valerio,1896,male,Spain,Europe,"poet, writer","literature, poetry"
7476,http://www.wikidata.org/entity/Q1037670,Carl Erik Soya,1896,male,Kingdom of Denmark,Europe,"journalist, playwright, screenwriter, writer","drama, film screenwriting, journalism, literature, television screenwriting"
7477,http://www.wikidata.org/entity/Q3496669,Stanislas Fumet,1896,male,France,Europe,"art critic, biographer, editor, essayist, journalist, poet, publisher, writer","art criticism, journalism, literature"
7492,http://www.wikidata.org/entity/Q5298419,Dorothy Frooks,1896,female,United States,North America,"actor, journalist, jurist, military officer, suffragist, writer","law, literature, military affairs"
7494,http://www.wikidata.org/entity/Q1316379,István Tallós Prohászka,1896,male,Hungary,Europe,"art critic, illustrator, painter, writer","Expressionism, Q16520492, art of painting, illustration, literature, visual arts"
7499,http://www.wikidata.org/entity/Q453489,Maria Ossowska,1896,female,Poland,Europe,"philosopher, sociologist",philosophy
7513,http://www.wikidata.org/entity/Q453983,Joan Lindsay,1896,female,Australia,Oceania,"artist, essayist, novelist, painter, playwright, poet, writer","drama, essay, literature, poetry, visual arts"
7514,http://www.wikidata.org/entity/Q161846,Kazimierz Kuratowski,1896,male,Russian Empire,North America,"mathematician, philosopher, university teacher","graph theory, mathematical logic, mathematics, measure theory, metric space, set theory, topology"
7518,http://www.wikidata.org/entity/Q2599504,Sofya Yanovskaya,1896,female,Soviet Union,Europe,"historian, mathematician, revolutionary","foundations of mathematics, history of mathematics, mathematical logic, mathematics, metamathematics, philosophy, philosophy of mathematics"
7521,http://www.wikidata.org/entity/Q739190,Paul van Ostaijen,1896,male,Belgium,Europe,"poet, politician, writer","literature, poetry"
7523,http://www.wikidata.org/entity/Q523087,Ludwik Fleck,1896,male,Poland,Europe,"biologist, microbiologist, philosopher, physician, scientist, sociologist, university teacher, writer","biology, history, immunology, medicine, microbiology, philosophy, philosophy of medicine, philosophy of science, serology"
7532,http://www.wikidata.org/entity/Q13132753,Ihnat Kančeŭski,1896,male,Republic of Central Lithuania,Europe,"opinion journalist, philosopher, poet","literary activity, opinion journalism, philosophy"
7533,http://www.wikidata.org/entity/Q2522010,Vicente Sáenz Rojas,1896,male,Costa Rica,North America,"journalist, writer","journalism, literature"
7537,http://www.wikidata.org/entity/Q1675942,Ivan Kapitonovič Luppol,1896,male,Soviet Union,Europe,"literary scholar, philosopher, university teacher","literary studies, philosophy"
7542,http://www.wikidata.org/entity/Q114842,Franz Karl Franchy,1896,male,Austria,Europe,"journalist, playwright, writer","drama, literature"
7549,http://www.wikidata.org/entity/Q3658106,Sava Ganovski,1897,male,Bulgaria,Europe,"academic, historian, pedagogue, philosopher, politician","Marxism, pedagogy, philosophy, political activity"
7555,http://www.wikidata.org/entity/Q3760989,Gerda Walther,1897,female,Germany,Europe,"philosopher, writer","parapsychology, phenomenology, philosophy"
7559,http://www.wikidata.org/entity/Q351366,Emil Leon Post,1897,male,United States,North America,"mathematician, philosopher, university teacher",mathematics
7560,http://www.wikidata.org/entity/Q38392,William Faulkner,1897,male,United States,North America,"novelist, playwright, poet, screenwriter, writer",novel
7562,http://www.wikidata.org/entity/Q336467,Philippe Soupault,1897,male,France,Europe,"actor, artist, broadcast journalist, critic, draftsperson, essayist, journalist, literary critic, novelist, playwright, poet, political activist, prose writer, publisher, radio personality, translator, writer","drama, journalism, literary criticism, poetry, prose, translation"
7563,http://www.wikidata.org/entity/Q1352831,Erich Meder,1897,male,Austria,Europe,"lyricist, poet, writer","film song, literature, lyricism, lyrics, song"
7566,http://www.wikidata.org/entity/Q470254,Hamit Zübeyir Koşay,1897,male,Turkey,Asia,"anthropologist, archaeologist, prehistorian",philosophy
7567,http://www.wikidata.org/entity/Q2898373,Bernard Nabonne,1897,male,France,Europe,"historian, writer","history, literature"
7573,http://www.wikidata.org/entity/Q192069,Enid Blyton,1897,female,United Kingdom,Europe,"novelist, poet, school teacher, screenwriter, teacher, writer","children's and youth literature, literary activity, pedagogy, poetry, scientific literature"
7584,http://www.wikidata.org/entity/Q320362,Cesare Musatti,1897,male,Kingdom of Italy,Europe,"philosopher, psychologist, university teacher","psychoanalysis, psychology"
7591,http://www.wikidata.org/entity/Q12025931,Josef Charvát,1897,male,Czechoslovakia,Europe,"pedagogue, physician, politician, scientist, university teacher","endocrinology, internal medicine, medical research, medicine, philosophy"
7592,http://www.wikidata.org/entity/Q138850,Gershom Scholem,1897,male,Germany,Europe,"Judaic scholar, historian, librarian, pedagogue, philosopher, poet, theologian, university teacher, writer","Kabbalah, philosophy"
7594,http://www.wikidata.org/entity/Q343487,Oscar Walter Cisek,1897,male,Romania,Europe,"art critic, diplomat, essayist, germanist, novelist, poet, prose writer, writer","German studies, art criticism, creative and professional writing, diplomacy, opinion journalism, poetry, prose"
7600,http://www.wikidata.org/entity/Q108871764,Tetsuji Yurai,1897,male,Japan,Asia,"art historian, philosopher, university teacher",Katsushika Hokusai
7601,http://www.wikidata.org/entity/Q3175548,Jean de Létraz,1897,male,France,Europe,"playwright, screenwriter, theatre manager, writer","drama, literature, theatre"
7604,http://www.wikidata.org/entity/Q1274181,Karl Olivecrona,1897,male,Sweden,Europe,"philosopher, university teacher, writer","law, philosophy"
7605,http://www.wikidata.org/entity/Q207359,Georges Bataille,1897,male,France,Europe,"draftsperson, librarian, philosopher, writer","aesthetics, art history, erotica, philosophy, sacred, sociology"
7606,http://www.wikidata.org/entity/Q1673781,Ise Gropius,1897,female,Germany,Europe,"journalist, writer","journalism, literature"
7612,http://www.wikidata.org/entity/Q12949162,Julien de Casabona,1897,male,France,Europe,"farmer, novelist, writer",translations from Occitan
7613,http://www.wikidata.org/entity/Q325262,Ali Dashti,1897,male,Iran,Asia,"diplomat, historian, intellectual, journalist, literary critic, politician, translator, writer","journalism, literature, politics"
7615,http://www.wikidata.org/entity/Q2871700,Augusto Mijares,1897,male,Venezuela,South America,"diplomat, historian, journalist, jurist, lawyer, teacher, writer","history, journalism, law, literature"
7619,http://www.wikidata.org/entity/Q8054832,Yom Sang-seop,1897,male,South Korea,Asia,"journalist, novelist, prose writer, writer","Korean literature, belletristic literature, navy"
7622,http://www.wikidata.org/entity/Q11698743,Franciszek Tokarz,1897,male,Poland,Europe,"Indologist, orientalist, philosopher","Catholic Church, Indology, sinology, theology of religions"
7624,http://www.wikidata.org/entity/Q960081,Kenneth Burke,1897,male,United States,North America,"journalist, literary critic, music critic, philosopher, producer, sociologist, university teacher, writer",philosophy
